نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
حبیب‌الله,دهمرده,سیستان و بلوچستان,زابل / زهک,آقا,902,152,1826,81,19,1472,597,381,49,445,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - استاد و عضو هیأت علمی دانشگاه سیستان و بلوچستان - استاندار لرستان - مشاور ریاست سازمان انرژی اتمی تحصیلات: - دکتری ریاضی کاربردی
مسلم,صالحی,فارس,اقلید,آقا,902,152,1878,72,28,1353,826,182,53,292,,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : رئس دانشگاه آزاد اقلید میزان تحصیلات : دکترای علوم تربیتی
بهزاد,علیزاده,ایلام,آبدانان / دره شهر / دهلران,آقا,882,154,1826,65,35,1193,675,190,49,279,,,دبیر اول کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,
سیداحسان,قاضی‌زاده هاشمی,خراسان رضوی,سرخس / فریمان,آقا,877,155,1869,63,37,1186,810,210,7,159,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,عضو کمیسیون اجتماعی,سوابق و فعالیت ها: - مدیر کل فرهنگ و ارشاد اسلامی - مدیر کل مطبوعات و خبرگزاری های داخلی وزارت فرهنگ و ارشاد اسلامی - رایزن فرهنگی جمهوری اسلامی در کرواسی تحصیلات: - کارشناسی ارشد حقوق - دانشجوی دوره دکتری حقوق بین الملل
امیرحسین,بانکی‌پورفرد,اصفهان,اصفهان,آقا,875,156,1826,70,30,1277,829,216,13,219,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی - عضو کمیسیون تلفیق,عضو کمیسیون فرهنگی,سوابق اجرایی : هیات علمی دانشگاه اصفهان میزان تحصیلات : دکترای فلسفه غرب
جبار,کوچکی‌نژاد ارم‌ساداتی,گیلان,رشت,آقا,870,157,2046,61,39,1254,701,218,18,317,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات,سوابق و فعالیت ها: - رئیس سازمان آموزش و پرورش گیلان - رئیس دانشکده فنی تحصیلات: - کارشناسی ارشد مدیریت - کارشناسی مهندسی خاکشناسی
محمد,وحیدی,خراسان شمالی,بجنورد / جاجرم / سملقان,آقا,856,158,2046,84,16,1715,807,204,26,678,نایب رئیس اول کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون آموزش و تحقیقات,سوابق اجرایی : مدیر کل آموزش و پرورش خراسان شمالی میزان تحصیلات : دکترا
فرهاد,طهماسبی,فارس,استهبان / نی‌ریز,آقا,855,159,1651,76,24,1252,779,260,29,184,عضو کمیسیون صنایع و معادن - عضو کمیسیون تلفیق,دبیر اول کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,سوابق اجرایی : رئیس دادگستری نی ریز میزان تحصیلات : دکترای حقوق عمومی
زهره,الهیان,تهران,اسلامشهر / تهران / ری / شمیرانات,خانم,841,160,1869,65,35,1224,671,150,199,204,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,
محمد,باقری‌بناب,آذربایجان شرقی,بناب,آقا,838,161,2046,66,34,1347,749,259,37,302,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,نایب رئیس دوم کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق و فعالیت ها: - مدرس دانشگاه - مسئولیت ستاد اقامه نماز جمعه بناب تحصیلات: - تحصیلات حوزوی در حوزه علمیه قم - لیسانس علوم سیاسی از موسسه آموزشی و پژوهشی امام خمینی (ره)
